Time;Number_of_Casualties;Day_of_Week;Road_Type;Speed_limit;Light_Conditions;Weather_Conditions;Road_Surface_Conditions;Urban_or_Rural_Area;Vehicle_Type;Did_Police_Officer_Attend_Scene_of_Accident;Junction_Detail;Number_of_Vehicles;Accident_Severity;
Noche;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;
Tarde;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;
Noche;1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Noche;1;Fin de semana;6;50.0;4;2;2;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;
Noche;1;Día laboral;1;50.0;4;1;1;2;bike;1;1;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;2;2;bike;1;3;1;2;
Madrugada;1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;
Tarde;1;Fin de semana;3;70.0;1;1;1;2;bike;1;0;1;1;
Mañana;1;Día laboral;6;30.0;1;1;2;1;bike;2;3;1;3;
Noche;1;Día laboral;6;30.0;4;2;2;1;bike;1;0;1;2;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;
Tarde;2;Día laboral;2;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Noche;2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;60.0;1;1;2;2;bike;1;0;1;2;
Noche;1;Día laboral;6;30.0;4;2;2;1;bike;2;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Día laboral;6;30.0;1;9;1;1;bike;2;8;1;3;
Noche;1;;6;20.0;1;1;1;1;bike;1;0;1;3;
Noche;1;Día laboral;6;20.0;4;1;1;1;bike;1;0;1;3;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;2;0;1;2;
Tarde;1;Día laboral;3;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;2;2;1;bike;2;0;1;3;
Noche;1;Día laboral;2;30.0;1;1;1;2;bike;1;0;1;3;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Fin de semana;2;30.0;1;1;1;1;bike;2;3;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;1;2;bike;2;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;2;1;bike;2;3;1;2;
Tarde;1;Día laboral;2;30.0;1;1;1;1;bike;2;0;1;2;
Noche;2;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;2;
Noche;1;Fin de semana;6;30.0;4;2;2;1;bike;1;3;1;3;
Noche;1;Día laboral;6;30.0;4;1;1;2;bike;1;3;1;3;
Noche;1;Día laboral;6;60.0;6;1;1;2;bike;1;0;1;3;
Mañana;1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;2;
Tarde;1;Día laboral;6;30.0;1;4;1;1;bike;2;0;1;2;
Mañana;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;1;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;1;
Mañana;1;Día laboral;6;30.0;1;9;-1;1;bike;3;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;
Mañana;1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;3;
Tarde;1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;2;
Tarde;1;Fin de semana;9;30.0;1;1;1;1;bike;2;0;1;3;
Noche;1;Fin de semana;6;30.0;1;9;-1;1;bike;3;0;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Fin de semana;6;30.0;4;1;1;1;bike;2;6;1;3;
Tarde;1;Día laboral;6;30.0;4;2;2;1;bike;2;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;6;1;3;
Tarde;1;Fin de semana;6;40.0;1;1;1;2;bike;1;0;1;2;
Mañana;1;Fin de semana;6;30.0;1;1;1;1;bike;1;9;1;3;
Tarde;1;Día laboral;6;30.0;1;2;2;1;bike;1;6;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;
Tarde;1;Fin de semana;2;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;9;1;1;bike;1;0;1;2;
Tarde;2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Noche;1;Día laboral;3;30.0;4;9;2;1;bike;2;3;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;2;bike;1;3;1;3;
Mañana;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;2;bike;1;3;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;1;Fin de semana;1;60.0;4;1;1;2;bike;1;1;1;3;
Noche;1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;1;30.0;1;1;1;2;bike;2;1;1;2;
Tarde;1;Día laboral;2;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Fin de semana;6;30.0;1;9;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;1;2;bike;2;0;1;3;
Tarde;1;Día laboral;6;60.0;1;9;2;2;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;2;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;40.0;1;1;1;2;bike;1;0;1;3;
Noche;1;Día laboral;6;60.0;6;1;1;2;bike;1;8;1;2;
Tarde;2;Día laboral;6;40.0;6;1;1;2;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;2;20.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;-1;0;1;2;
Noche;1;Día laboral;1;60.0;1;1;1;2;bike;-1;1;1;3;
Noche;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;
Mañana;1;Fin de semana;6;30.0;1;8;2;1;bike;1;3;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;
Tarde;1;Día laboral;3;30.0;1;1;1;1;bike;1;9;1;2;
Noche;1;Día laboral;2;30.0;4;1;1;1;bike;1;3;1;3;
Mañana;1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;2;
Noche;1;Día laboral;6;30.0;1;5;2;1;bike;2;8;1;3;
Tarde;1;Día laboral;6;30.0;4;1;2;2;bike;1;0;1;2;
Mañana;1;Fin de semana;6;40.0;1;1;1;2;bike;1;0;1;3;
Tarde;2;Fin de semana;6;20.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;2;0;1;3;
Tarde;1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;2;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Mañana;1;Fin de semana;6;30.0;1;2;5;1;bike;1;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;9;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;3;
Noche;1;Fin de semana;6;30.0;4;1;1;1;bike;1;9;1;3;
Mañana;1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;3;
Tarde;1;Día laboral;9;30.0;1;1;1;2;bike;1;3;1;3;
Tarde;1;Día laboral;9;30.0;1;1;1;2;bike;1;0;1;2;
Madrugada;1;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;3;
Mañana;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Fin de semana;6;40.0;1;1;1;2;bike;1;3;1;3;
Noche;1;Día laboral;6;30.0;4;1;2;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;2;bike;1;9;1;2;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;1;9;1;3;
Tarde;1;Día laboral;9;30.0;1;1;2;1;bike;1;0;1;3;
Noche;1;Día laboral;6;60.0;6;8;4;2;bike;1;9;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;2;1;bike;1;3;1;3;
Tarde;1;;2;30.0;7;1;2;2;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;
Mañana;1;Día laboral;6;30.0;1;9;1;2;bike;1;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;2;2;bike;1;0;1;2;
Mañana;1;Fin de semana;9;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;9;30.0;1;1;1;1;bike;1;9;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;60.0;1;4;1;2;bike;1;0;1;1;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;3;3;1;bike;1;0;1;3;
Mañana;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;
Mañana;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;1;
Noche;1;Día laboral;6;30.0;4;9;1;1;bike;2;0;1;3;
Noche;1;Fin de semana;6;30.0;4;2;2;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;2;bike;2;0;1;3;
Tarde;1;Fin de semana;6;20.0;1;1;1;1;bike;1;0;1;3;
Tarde;2;Fin de semana;6;30.0;4;1;2;1;bike;2;0;1;3;
Tarde;1;Día laboral;2;30.0;1;1;2;1;bike;2;3;1;3;
Noche;1;Día laboral;6;60.0;1;1;2;2;bike;1;3;1;3;
Tarde;1;Día laboral;6;20.0;1;1;2;1;bike;1;6;1;3;
Mañana;1;Día laboral;6;30.0;1;1;2;1;bike;1;3;1;3;
Noche;1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;1;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;2;
Noche;1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;2;
Noche;1;Día laboral;3;30.0;4;1;1;1;bike;1;0;1;2;
Mañana;1;Fin de semana;6;40.0;1;1;1;1;bike;1;0;1;1;
Tarde;1;Día laboral;3;40.0;1;1;1;1;bike;2;7;1;3;
Tarde;2;Día laboral;6;60.0;6;1;2;2;bike;1;0;1;2;
Tarde;1;Día laboral;9;30.0;1;8;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;3;40.0;1;1;1;1;bike;1;0;1;2;
Noche;1;Día laboral;9;60.0;1;1;1;2;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;
Tarde;1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;3;
Mañana;2;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;7;1;2;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;7;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;;2;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;1;
Noche;1;Día laboral;6;60.0;6;5;2;2;bike;1;0;1;3;
Mañana;2;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;
Mañana;1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;2;Día laboral;6;30.0;1;1;1;1;bike;2;6;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;4;Fin de semana;6;30.0;1;2;2;1;bike;1;3;1;3;
Tarde;1;;6;30.0;1;1;1;1;bike;1;6;1;2;
Mañana;2;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;2;
Noche;1;Día laboral;6;30.0;1;2;2;1;bike;1;0;1;3;
Tarde;2;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;
Tarde;1;Día laboral;2;30.0;1;1;1;1;bike;1;6;1;3;
Noche;1;Día laboral;2;30.0;4;1;1;1;bike;1;0;1;3;
Noche;1;Día laboral;3;30.0;1;1;1;1;bike;1;0;1;3;
Noche;2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;1;;6;30.0;1;1;1;1;bike;2;0;1;2;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;2;30.0;1;1;1;1;bike;2;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Fin de semana;1;30.0;1;1;1;1;bike;1;1;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;
Mañana;1;Fin de semana;6;30.0;1;1;1;1;bike;2;6;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;7;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Noche;1;Fin de semana;2;30.0;4;1;1;1;bike;1;6;1;3;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;1;3;1;3;
Noche;1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;3;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;1;3;1;3;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Mañana;1;Día laboral;3;30.0;1;1;1;1;bike;1;3;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;2;Fin de semana;6;30.0;4;1;1;1;bike;1;6;1;3;
Mañana;2;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Noche;1;;1;30.0;4;1;1;1;bike;1;1;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Noche;1;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;
Madrugada;1;Día laboral;3;30.0;4;1;1;1;bike;1;8;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;
Mañana;1;Fin de semana;1;20.0;1;1;2;1;bike;1;1;1;3;
Noche;1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Mañana;2;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;3;
Noche;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;
Mañana;1;Día laboral;6;40.0;1;1;1;2;bike;2;0;1;3;
Noche;1;Fin de semana;6;30.0;4;1;1;2;bike;1;3;1;1;
Noche;1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;
Mañana;1;Fin de semana;9;20.0;1;1;1;1;bike;1;0;1;2;
Noche;1;Día laboral;6;60.0;1;1;1;2;bike;1;9;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;2;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;4;5;2;1;bike;1;6;1;3;
Noche;1;Día laboral;6;30.0;1;1;2;1;bike;1;0;1;2;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;2;7;1;3;
Noche;2;Día laboral;6;30.0;4;4;1;1;bike;1;3;1;3;
Tarde;2;Día laboral;3;30.0;1;1;1;1;bike;1;9;1;3;
Tarde;1;Día laboral;3;30.0;1;1;1;1;bike;2;9;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;
Noche;1;Fin de semana;6;30.0;4;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;2;bike;2;7;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;2;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;8;1;2;
Noche;1;Día laboral;1;70.0;1;1;1;2;bike;1;1;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Fin de semana;6;60.0;1;1;1;2;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;2;2;1;bike;1;1;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Día laboral;6;60.0;1;1;1;2;bike;1;9;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;2;bike;2;0;1;3;
Tarde;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;
Mañana;1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;40.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;2;3;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Mañana;1;Día laboral;6;30.0;1;1;1;1;bike;1;9;1;3;
Tarde;1;Fin de semana;3;40.0;1;1;1;1;bike;1;0;1;2;
Tarde;2;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;2;
Mañana;2;Día laboral;6;30.0;1;1;1;1;bike;1;7;1;3;
Mañana;1;Día laboral;6;50.0;4;5;2;2;bike;1;0;1;2;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Noche;1;Día laboral;6;30.0;1;1;2;2;bike;1;0;1;2;
Noche;1;Fin de semana;9;30.0;7;9;1;1;bike;1;0;1;1;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;
Noche;1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Fin de semana;6;40.0;1;1;2;2;bike;1;0;1;2;
Mañana;1;Fin de semana;6;30.0;1;1;1;1;bike;2;0;1;3;
Tarde;2;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;
Tarde;1;Fin de semana;6;30.0;1;1;1;1;bike;2;0;1;3;
Mañana;1;Fin de semana;3;40.0;1;1;1;1;bike;1;0;1;2;
Mañana;1;Día laboral;6;30.0;1;8;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;
Tarde;1;Día laboral;6;40.0;1;1;1;1;bike;1;0;1;3;
